Test_Number,Testing_Type,A/S,Test(META???),Location_Type,Test_Location,??,EMA#1,EMA#2,EMAW,EMAS,EMAP,WABL,WABLM,RAWL,RAWLM,KEN,RANGE,Value
3031,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P),0
3032,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P),0
3033,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P),0
3034,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P),0
3035,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P),0
3036,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A4,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P),0
3037,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A4,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P),0
3038,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A4,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P),0
3039,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A5,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P),0
3040,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A5,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P),0
3041,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A5,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P),0
3042,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A6,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P),0
3043,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A6,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P),0
3044,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A6,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P),0
3045,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P),0
3046,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P),0
3047,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P),0
3048,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A0,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6750V_vddce_0.6750V_dvdd_1.200V_100.00ns,(P),0
3049,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A0,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6750V_vddce_0.6750V_dvdd_1.200V_100.00ns,(P),0
3050,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A0,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6750V_vddce_0.6750V_dvdd_1.200V_100.00ns,(P),0
3051,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A1,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6750V_vddce_0.6750V_dvdd_1.200V_100.00ns,(P),0
3052,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A1,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6750V_vddce_0.6750V_dvdd_1.200V_100.00ns,(P),0
3053,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A1,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6750V_vddce_0.6750V_dvdd_1.200V_100.00ns,(P),0
3054,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6750V_vddce_0.6750V_dvdd_1.200V_100.00ns,(P),0
3055,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6750V_vddce_0.6750V_dvdd_1.200V_100.00ns,(P),0
3056,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6750V_vddce_0.6750V_dvdd_1.200V_100.00ns,(P),0
3057,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6750V_vddce_0.6750V_dvdd_1.200V_100.00ns,(P),0
3058,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6750V_vddce_0.6750V_dvdd_1.200V_100.00ns,(P),0
3059,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6750V_vddce_0.6750V_dvdd_1.200V_100.00ns,(P),0
3060,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A4,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6750V_vddce_0.6750V_dvdd_1.200V_100.00ns,(P),0
3061,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A4,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6750V_vddce_0.6750V_dvdd_1.200V_100.00ns,(P),0
3062,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A4,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6750V_vddce_0.6750V_dvdd_1.200V_100.00ns,(P),0
3063,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A5,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6750V_vddce_0.6750V_dvdd_1.200V_100.00ns,(P),0
3064,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A5,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6750V_vddce_0.6750V_dvdd_1.200V_100.00ns,(P),0
3065,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A5,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6750V_vddce_0.6750V_dvdd_1.200V_100.00ns,(P),0
3066,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A6,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6750V_vddce_0.6750V_dvdd_1.200V_100.00ns,(P),0
3067,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A6,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6750V_vddce_0.6750V_dvdd_1.200V_100.00ns,(P),0
3068,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A6,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6750V_vddce_0.6750V_dvdd_1.200V_100.00ns,(P),0
3069,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6750V_vddce_0.6750V_dvdd_1.200V_100.00ns,(P),0
3070,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6750V_vddce_0.6750V_dvdd_1.200V_100.00ns,(P),0
3071,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6750V_vddce_0.6750V_dvdd_1.200V_100.00ns,(P),0
3072,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A0,B99,A1,A0,99,1,1,0,0,99,vddpe_0.5400V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3073,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A0,B99,A1,A0,99,1,1,0,0,99,vddpe_0.5400V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3074,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A0,B99,A1,A0,99,1,1,0,0,99,vddpe_0.5400V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3075,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A1,B99,A1,A0,99,1,1,0,0,99,vddpe_0.5400V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3076,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A1,B99,A1,A0,99,1,1,0,0,99,vddpe_0.5400V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3077,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A1,B99,A1,A0,99,1,1,0,0,99,vddpe_0.5400V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3078,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.5400V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3079,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.5400V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3080,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.5400V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3081,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.5400V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3082,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.5400V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3083,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.5400V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3084,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A4,B99,A1,A0,99,1,1,0,0,99,vddpe_0.5400V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3085,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A4,B99,A1,A0,99,1,1,0,0,99,vddpe_0.5400V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3086,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A4,B99,A1,A0,99,1,1,0,0,99,vddpe_0.5400V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3087,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A5,B99,A1,A0,99,1,1,0,0,99,vddpe_0.5400V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3088,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A5,B99,A1,A0,99,1,1,0,0,99,vddpe_0.5400V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3089,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A5,B99,A1,A0,99,1,1,0,0,99,vddpe_0.5400V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3090,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A6,B99,A1,A0,99,1,1,0,0,99,vddpe_0.5400V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3091,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A6,B99,A1,A0,99,1,1,0,0,99,vddpe_0.5400V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3092,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A6,B99,A1,A0,99,1,1,0,0,99,vddpe_0.5400V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3093,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.5400V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3094,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.5400V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3095,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.5400V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3096,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A0,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6300V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3097,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A0,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6300V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3098,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A0,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6300V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3099,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A1,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6300V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3100,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A1,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6300V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3101,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A1,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6300V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3102,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6300V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3103,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6300V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3104,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6300V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3105,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6300V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3106,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6300V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3107,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,16384X72M8F8,ABGRWV_LP_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6300V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3108,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,8192X40M8F8,ABGRWVL_LP_m22n,A4,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6300V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
3109,tb_mem_yd_ckb,Stnd_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_LP_m22n,A4,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6300V_vddce_0.7200V_dvdd_1.200V_100.00ns,(P),0
